id,subject,number,answer,student_id
1,헌법,1,4,1
2,헌법,2,4,1
3,헌법,3,2,1
4,헌법,4,3,1
5,헌법,5,4,1
6,헌법,6,1,1
7,헌법,7,4,1
8,헌법,8,4,1
9,헌법,9,1,1
10,헌법,10,2,1
11,헌법,11,3,1
12,헌법,12,3,1
13,헌법,13,1,1
14,헌법,14,1,1
15,헌법,15,4,1
16,헌법,16,1,1
17,헌법,17,3,1
18,헌법,18,2,1
19,헌법,19,3,1
20,헌법,20,1,1
21,헌법,21,3,1
22,헌법,22,3,1
23,헌법,23,3,1
24,헌법,24,2,1
25,헌법,25,1,1
26,언어,1,3,1
27,언어,2,3,1
28,언어,3,3,1
29,언어,4,5,1
30,언어,5,1,1
31,언어,6,5,1
32,언어,7,3,1
33,언어,8,2,1
34,언어,9,2,1
35,언어,10,2,1
36,언어,11,3,1
37,언어,12,3,1
38,언어,13,1,1
39,언어,14,3,1
40,언어,15,3,1
41,언어,16,3,1
42,언어,17,5,1
43,언어,18,2,1
44,언어,19,2,1
45,언어,20,5,1
46,언어,21,5,1
47,언어,22,5,1
48,언어,23,5,1
49,언어,24,5,1
50,언어,25,4,1
51,언어,26,5,1
52,언어,27,4,1
53,언어,28,5,1
54,언어,29,1,1
55,언어,30,4,1
56,언어,31,3,1
57,언어,32,3,1
58,언어,33,5,1
59,언어,34,2,1
60,언어,35,4,1
61,언어,36,5,1
62,언어,37,4,1
63,언어,38,3,1
64,언어,39,5,1
65,언어,40,4,1
66,자료,1,5,1
67,자료,2,3,1
68,자료,3,4,1
69,자료,4,2,1
70,자료,5,3,1
71,자료,6,4,1
72,자료,7,2,1
73,자료,8,2,1
74,자료,9,5,1
75,자료,10,1,1
76,자료,11,1,1
77,자료,12,2,1
78,자료,13,1,1
79,자료,14,4,1
80,자료,15,4,1
81,자료,16,3,1
82,자료,17,2,1
83,자료,18,1,1
84,자료,19,1,1
85,자료,20,3,1
86,자료,21,5,1
87,자료,22,1,1
88,자료,23,4,1
89,자료,24,4,1
90,자료,25,1,1
91,자료,26,4,1
92,자료,27,1,1
93,자료,28,4,1
94,자료,29,2,1
95,자료,30,3,1
96,자료,31,4,1
97,자료,32,2,1
98,자료,33,3,1
99,자료,34,3,1
100,자료,35,5,1
101,자료,36,4,1
102,자료,37,5,1
103,자료,38,5,1
104,자료,39,5,1
105,자료,40,3,1
106,상황,1,4,1
107,상황,2,3,1
108,상황,3,5,1
109,상황,4,1,1
110,상황,5,2,1
111,상황,6,5,1
112,상황,7,5,1
113,상황,8,2,1
114,상황,9,4,1
115,상황,10,3,1
116,상황,11,3,1
117,상황,12,3,1
118,상황,13,4,1
119,상황,14,3,1
120,상황,15,3,1
121,상황,16,5,1
122,상황,17,3,1
123,상황,18,3,1
124,상황,19,3,1
125,상황,20,4,1
126,상황,21,4,1
127,상황,22,2,1
128,상황,23,2,1
129,상황,24,4,1
130,상황,25,2,1
131,상황,26,3,1
132,상황,27,1,1
133,상황,28,2,1
134,상황,29,3,1
135,상황,30,3,1
136,상황,31,2,1
137,상황,32,1,1
138,상황,33,4,1
139,상황,34,3,1
140,상황,35,3,1
141,상황,36,3,1
142,상황,37,5,1
143,상황,38,2,1
144,상황,39,4,1
145,상황,40,2,1
146,헌법,1,4,2
147,헌법,2,4,2
148,헌법,3,3,2
149,헌법,4,3,2
150,헌법,5,3,2
151,헌법,6,3,2
152,헌법,7,4,2
153,헌법,8,4,2
154,헌법,9,1,2
155,헌법,10,2,2
156,헌법,11,3,2
157,헌법,12,3,2
158,헌법,13,1,2
159,헌법,14,3,2
160,헌법,15,3,2
161,헌법,16,1,2
162,헌법,17,3,2
163,헌법,18,2,2
164,헌법,19,4,2
165,헌법,20,3,2
166,헌법,21,2,2
167,헌법,22,4,2
168,헌법,23,2,2
169,헌법,24,2,2
170,헌법,25,3,2
171,언어,1,3,2
172,언어,2,3,2
173,언어,3,3,2
174,언어,4,5,2
175,언어,5,1,2
176,언어,6,2,2
177,언어,7,3,2
178,언어,8,2,2
179,언어,9,2,2
180,언어,10,2,2
181,언어,11,3,2
182,언어,12,3,2
183,언어,13,1,2
184,언어,14,3,2
185,언어,15,5,2
186,언어,16,1,2
187,언어,17,5,2
188,언어,18,2,2
189,언어,19,2,2
190,언어,20,5,2
191,언어,21,5,2
192,언어,22,5,2
193,언어,23,5,2
194,언어,24,5,2
195,언어,25,4,2
196,언어,26,5,2
197,언어,27,4,2
198,언어,28,5,2
199,언어,29,1,2
200,언어,30,4,2
201,언어,31,3,2
202,언어,32,3,2
203,언어,33,4,2
204,언어,34,2,2
205,언어,35,3,2
206,언어,36,3,2
207,언어,37,4,2
208,언어,38,3,2
209,언어,39,5,2
210,언어,40,4,2
211,자료,1,5,2
212,자료,2,3,2
213,자료,3,3,2
214,자료,4,3,2
215,자료,5,5,2
216,자료,6,4,2
217,자료,7,4,2
218,자료,8,2,2
219,자료,9,4,2
220,자료,10,1,2
221,자료,11,1,2
222,자료,12,4,2
223,자료,13,2,2
224,자료,14,4,2
225,자료,15,4,2
226,자료,16,3,2
227,자료,17,2,2
228,자료,18,4,2
229,자료,19,2,2
230,자료,20,2,2
231,자료,21,1,2
232,자료,22,4,2
233,자료,23,4,2
234,자료,24,4,2
235,자료,25,1,2
236,자료,26,4,2
237,자료,27,2,2
238,자료,28,2,2
239,자료,29,2,2
240,자료,30,3,2
241,자료,31,4,2
242,자료,32,2,2
243,자료,33,1,2
244,자료,34,2,2
245,자료,35,5,2
246,자료,36,4,2
247,자료,37,4,2
248,자료,38,2,2
249,자료,39,5,2
250,자료,40,5,2
251,상황,1,4,2
252,상황,2,3,2
253,상황,3,4,2
254,상황,4,1,2
255,상황,5,3,2
256,상황,6,5,2
257,상황,7,5,2
258,상황,8,4,2
259,상황,9,3,2
260,상황,10,2,2
261,상황,11,5,2
262,상황,12,1,2
263,상황,13,4,2
264,상황,14,2,2
265,상황,15,3,2
266,상황,16,5,2
267,상황,17,2,2
268,상황,18,1,2
269,상황,19,1,2
270,상황,20,2,2
271,상황,21,1,2
272,상황,22,2,2
273,상황,23,4,2
274,상황,24,1,2
275,상황,25,2,2
276,상황,26,5,2
277,상황,27,4,2
278,상황,28,2,2
279,상황,29,2,2
280,상황,30,4,2
281,상황,31,3,2
282,상황,32,2,2
283,상황,33,2,2
284,상황,34,3,2
285,상황,35,2,2
286,상황,36,5,2
287,상황,37,2,2
288,상황,38,1,2
289,상황,39,4,2
290,상황,40,5,2
291,헌법,1,4,3
292,헌법,2,4,3
